"U_X","U_Y","EpsiXX","EpsiYY","EpsiXY","SigmaXX","SigmaYY","SigmaXY","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.011944,-6.2729e-09,7.745e-05,-1.8649e-05,2.8386e-10,12.438,0.79194,9.2068e-06,1,169,169,0,0
0.012022,-6.6022e-09,7.7487e-05,-1.8721e-05,2.8288e-10,12.44,0.7814,9.1765e-06,1,170,170,0,0
0.012099,-7.0105e-09,7.7519e-05,-1.8787e-05,2.7239e-10,12.442,0.77169,8.8393e-06,1,171,171,0,0
0.012177,-7.4189e-09,7.7552e-05,-1.8852e-05,2.6191e-10,12.445,0.76197,8.5021e-06,1,172,172,0,0
0.012255,-7.8272e-09,7.7584e-05,-1.8918e-05,2.5143e-10,12.447,0.75226,8.1649e-06,1,173,173,0,0
0.012332,-8.2355e-09,7.7616e-05,-1.8984e-05,2.4095e-10,12.449,0.74254,7.8278e-06,1,174,174,0,0
0.01241,-8.6438e-09,7.7649e-05,-1.905e-05,2.3046e-10,12.451,0.73283,7.4906e-06,1,175,175,0,0
0.012488,-9.0522e-09,7.7681e-05,-1.9116e-05,2.1998e-10,12.453,0.72312,7.1534e-06,1,176,176,0,0
0.012565,-9.4605e-09,7.7713e-05,-1.9182e-05,2.095e-10,12.455,0.7134,6.8162e-06,1,177,177,0,0
0.012643,-9.8688e-09,7.7746e-05,-1.9247e-05,1.9902e-10,12.458,0.70369,6.479e-06,1,178,178,0,0
0.012721,-1.0277e-08,7.7778e-05,-1.9313e-05,1.8853e-10,12.46,0.69397,6.1419e-06,1,179,179,0,0
0.012798,-1.0685e-08,7.7811e-05,-1.9379e-05,1.7805e-10,12.462,0.68426,5.8047e-06,1,180,180,0,0
0.012876,-1.1056e-08,7.7839e-05,-1.9439e-05,1.7062e-10,12.464,0.67536,5.5659e-06,1,181,181,0,0
0.012954,-1.1426e-08,7.7867e-05,-1.9499e-05,1.6318e-10,12.466,0.66645,5.3271e-06,1,182,182,0,0
0.013032,-1.1796e-08,7.7895e-05,-1.9559e-05,1.5575e-10,12.467,0.65754,5.0882e-06,1,183,183,0,0
0.01311,-1.2166e-08,7.7923e-05,-1.9619e-05,1.4831e-10,12.469,0.64864,4.8494e-06,1,184,184,0,0
0.013188,-1.2536e-08,7.7951e-05,-1.9678e-05,1.4088e-10,12.471,0.63973,4.6106e-06,1,185,185,0,0
0.013266,-1.2907e-08,7.798e-05,-1.9738e-05,1.3345e-10,12.473,0.63083,4.3718e-06,1,186,186,0,0
0.013344,-1.3277e-08,7.8008e-05,-1.9798e-05,1.2601e-10,12.474,0.62192,4.133e-06,1,187,187,0,0
0.013422,-1.3647e-08,7.8036e-05,-1.9858e-05,1.1858e-10,12.476,0.61301,3.8942e-06,1,188,188,0,0
0.0135,-1.4017e-08,7.8064e-05,-1.9918e-05,1.1114e-10,12.478,0.60411,3.6554e-06,1,189,189,0,0
0.013578,-1.4387e-08,7.8092e-05,-1.9978e-05,1.0371e-10,12.48,0.5952,3.4165e-06,1,190,190,0,0
0.013656,-1.4701e-08,7.8116e-05,-2.0032e-05,1.0837e-10,12.481,0.58708,3.5685e-06,1,191,191,0,0
0.013734,-1.5015e-08,7.8141e-05,-2.0086e-05,1.1304e-10,12.482,0.57895,3.7205e-06,1,192,192,0,0
0.013813,-1.5329e-08,7.8165e-05,-2.0141e-05,1.1771e-10,12.484,0.57082,3.8725e-06,1,193,193,0,0
0.013891,-1.5643e-08,7.8189e-05,-2.0195e-05,1.2237e-10,12.485,0.5627,4.0245e-06,1,194,194,0,0
0.013969,-1.5957e-08,7.8213e-05,-2.0249e-05,1.2704e-10,12.486,0.55457,4.1765e-06,1,195,195,0,0
0.014047,-1.6271e-08,7.8237e-05,-2.0303e-05,1.317e-10,12.488,0.54644,4.3284e-06,1,196,196,0,0
0.014125,-1.6585e-08,7.8262e-05,-2.0357e-05,1.3637e-10,12.489,0.53832,4.4804e-06,1,197,197,0,0
0.014204,-1.69e-08,7.8286e-05,-2.0412e-05,1.4103e-10,12.49,0.53019,4.6324e-06,1,198,198,0,0
0.014282,-1.7214e-08,7.831e-05,-2.0466e-05,1.457e-10,12.492,0.52206,4.7844e-06,1,199,199,0,0
0.01436,-1.7528e-08,7.8334e-05,-2.052e-05,1.5037e-10,12.493,0.51394,4.9364e-06,1,200,200,0,0
0.014439,-1.7522e-08,7.8355e-05,-2.0569e-05,1.0632e-10,12.494,0.50655,3.5142e-06,1,201,201,0,0
0.014517,-1.7517e-08,7.8375e-05,-2.0618e-05,6.2264e-11,12.495,0.49916,2.092e-06,1,202,202,0,0
